Movie,Year,Genre,Actors,Director(s),Producer(s),Writer(s),Musician(s),Poet(s),Singer(s),Cinematogrpahy,Others
Mujahid, 1978-06-23, Action film,"Musarrat Shaheen, Badar Munir, Ashiq Sarhadi, Yasmin Khan, Asif Khan, Nemat Sarhadi, Liaqat Major, Umar Daraz Khan, Nagina Khanum, Anita",Nasir Raza Khan,Saleem Khan Yousufi,Nasir Raza Khan,Rahdat Hussain,Lajord Saleem,"Gulnar Begum, Mehjabin Qazalbash, Hadayet Ullah",Azhar Zaidi,
Yaari Dosti, 1978-06-23, Action film,"Aliya, Humayun Qureshi, Parveen Boby, Afzaal Ahmad",Altaf Hussain,S. Ashfaq,?,Qadar Ali,?,?,?,
Ehtjaj, 1978-06-23, Family drama,"Deeba, Ghulam Mohayuddin, Nisho, Adeeb, Sabiha",Farooq Khan,Dilshad Butt,?,Nashad,?,"Mehnaz, Mehdi Hassan, A. Nayyar",?,
Chaman Khan, 1978-06-30, Political motivated film,"Neelo, Sultan Rahi, Iqbal Hassan, Naghma, Ishrat Chodhary",Nazir Hussain,Mohammad Yousuf Dar,Hazin Qadri,Nazir Ali,Hazin Qadri,"Noorjahan, Trannum Naz, Masood Rana",Imtiaz Qureshi,
Heera tay Basheera, 1978-06-30, Action film,"Asiya, Sultan Rahi, Iqbal Hassan, Nazli, Nayyar Sultana, Mustsfa Qureshi, Rangeela, Saiqa, Khalid Saleem Mota, Fakhri Ahmad, Sheikh Iqbal, Khayyam",Faisal Ejaz,"Chodhary Merajdeen, Mohammad Ibrahim",Saleem Zubairi,Kemal Ahmad,?,"Noorjahan, Mala, Naheed Akhtar, Manzoor Hussain",Ghazanfar Ali,
Kall Day Munday, 1978-06-30, Family drama,"Najma, Kemal, Asif Khan, Usman Pirzada, Neelo, Ali Ejaz, Rangeela",Syed Kemal,Syed Kemal,?,Wajahat Attray,?,?,?,
Pagal tay Pyar, 1978-06-30, Family drama,"Nimmi, Naveed, Ishrat Chodhary, Shehla Gul, Shahnawaz",?,M. Siddique,?,"Rehman Verma, Master Amin, Rafaqat, Mohsin",Basheer Khokhar,"Irene Parveen, Robina Badar, Nayyara Noor, Shazia, Rubi Kousar, Masood Rana",?,
Mehman, 1978-06-30, Family drama,"Babra Sharif, Rahat Kazmi, Najma, Meena Shori, Nighat Sultana, Allauddin, Nayyar Sultana, Badiuzzaman, Najma Mehboob",Parvez Malik (also screenplay),"Ishaq Mirza, Parvez Malik","Salma Kanwal, (dialogues: Masroor Anwar)",M. Ashraf,Masroor Anwar,"Naheed Akhtar, Mehnaz, Ahmad Rushdi, Ghulam Abbas",Sarwar Gul,
Prince, 1978-06-30, Family drama,"Babra Sharif, Nadeem, Asiya, Asif Raza Mir, Nayyar Sultana, Masood Akhtar, Ibrahim Nafees, Munawar Saeed, Tamanna, Khalid Saleem Mota, Lehri, Saqi, Parvez, Naveen Tajak, HanifSajjad, Bahar",S. Suleman,Mian Siddiq,Basheer Niaz,Kemal Ahmad,Taslim Fazli,"Noorjahan, Naheed Akhtar, Mehnaz, Mehdi Hassan, Akhlaq Ahmad",Ali Jan,Ass. director: Mohammad Javed Fazil
Alaram, 1978-07-07, Family drama,"Najma, Mustafa Qureshi, Aurangzeb, Chakori, Aslam Parvez, Adeeb, Bahar, Talish, Yasmin Khan, Jaggi Malik, Mizla, Imrozia, Iqbal Durrani, Altaf Khan,",Daud Butt,Mian Javed Qamar,Mohammad Kemal Pasha,Tafoo,Khawaja Parvez,"Noorjahan, Naheed Akhtar, Laila Naz, Rajab Ali, Ghulam Abbas",Tahir Waheed Khan,
Mazi Haal Aur Mustaqbil, 1978-07-07, Family drama,"Babra Sharif, Shahid, Neelo, Qavi, Talish",Hassan Tariq,Rabia Hassan,?,A. Hameed,?,?,?,
Takrao, 1978-07-07, Family drama,"Zeba, Mohammad Ali, Najma, Yousuf Khan, Chakori, Asif Khan",Iqbal Yousuf,Sharif Siddiqi,?,Tafoo,?,"Naheed Akhtar, Mehdi Hassan",?,
Accident, 1978-07-14, Family drama,"Najma, Yousuf Khan, Ghulam Mohayuddin, Musarrat Shaheen",Haidar Chodhary,Saima Haidar,?,Kemal Ahmad,?,"Mehdi Hassan, Ahmad Rushdi",?,
Inqilab, 1978-07-21, Family drama,"Neelo, Mohammad Ali, Musarrat Shaheen, Asif Khan, Talish",Majeed Rana,?,?,M. Ashraf,?,"Masood Rana, Akhlaq Ahmad",?,
Dost Dushman, 1978-09-05, Action film,"Yasmin Khan, Badar Munir, Rangeela, Veena, Asif Khan",Jameel Akhtar,?,?,Dilfarbaz,?,?,?,
2 Daku, 1978-09-05, Action film,"Deeba, Sultan Rahi, Sangeeta, Mohammad Ali, Badar Munir, Asif Khan, Kemal Irany",Rehmat Ali,Azhar Barki,?,Kemal Ahmad,Taslim Fazli,"Noorjahan, Naheed Akhtar",?,
Akbar Amar Anthony, 1978-09-05, Family drama,"Najma, Asif Khan, Iqbal Hassan, Ishrat Chodhary, Mustafa Qureshi",Haidar Chodhary,Saima Haidar,?,Wajahat Attray,?,?,?,
Ghazi Ilmuddin Shaheed, 1978-09-05, Biographical film,"Haidar, Navin Tajik, Habib, Najma Mehboob, Bahar, Afzaal Ahmad, Ali Ejaz, Masood Akhtar, Seema, Imdad Hussain, Changezi, Sheikh Iqbal, Munawar Saeed, Rehan, Asha Poslay, Saqi, Abbu Shah, (Guests: Najma, Aliya, Iqbal Hassan, Badar Munir, Asif Khan, Qavi, Ilyas Kashmiri)",Haider,Haider,?,Master Abdullah,Hazin Qadri,"Noorjahan, Masood Rana",?,
Ibrat, 1978-09-05, Action film,"Asiya, Sultan Rahi, Nazli, Bahar. Ishrat Chodhary",Hameed Chodhary,Hameed Chodhary,?,Wajahat Attray,?,?,?,
Raju Rocket, 1978-09-05, Action film,"Chakori, Kaifee, Inayat Hussain Bhatti, Nazli, Iqbal Hassan, Nanha, Adeeb, Bahar, Sawan, Saiqa, Shugafta, Altaf Khan, Jaggi Malik, Sohail Durrani, Iqbal Durrani,",Mulazim Hussain Bhatti,Aamir Ali,Nasir Adeeb,Tafoo,Khawaja Parvez,"Naheed Akhtar, Naseem, Inayat Hussain Bhatti, Munir Hussain, Shoukat Ali",M. Latif,
Body Guard, 1978-09-05, Family drama,"Najma, Yousuf Khan, Nazli, Afzaal Ahmad, Mustafa Qureshi",Waheed Dar,?,?,Master Inayat Hussain,Ahmad Rahi,?,?,
Haidar Ali, 1978-09-05, Biographical film,"Mohammad Ali, Mumtaz, Nayyar Sultana, Sabiha Khanum, Talish, Adeeb, Allauddin, Ambar, Mehboob Alam, Shujaat Hashmi, Changezi, Meena Daud, Amaan",Masood Parvez,Raja Ghazanfar Ali,"Riaz Shahid, (also dialogues: Riaz Arshad, Rasheed Sajid, Basheer Niaz, Raja Ghazanfar Ali)",Khawaja Khursheed Anwar,Qateel Shafi,Mehnaz,Masoodur Rehman,
Playboy, 1978-09-05, Family drama,"Babra Sharif, Nadeem, Nadia, Asif Raza Mir, Nanha, Talish, Saqi, Meena Daud, Naina, Farzana, M.D. Sheikh",Shamim Ara,Shamim Ara,Ali Sufyan Afaqi,M. Ashraf,Taslim Fazli,"Mehnaz, Naheed Akhtar, Mehdi Hassan, A. Nayyar, Shoukat Ali, Rajab Ali",Kamran Mirza,
"Seeta, Maryam, Margrette", 1978-09-05, Family drama,"Rani, Mohammad Ali, Deeba, Shahid, Ilyas Kashmiri, Qavi, Talish",Hassan Tariq,Rabia Tariq,?,A. Hameed,Agha Hassan Imtesal,"Mehnaz, Ahmad Rushdi, Ghulam Abbas",?,
Lakha, 1978-09-22, Action film,"Nisho, Iqbal Hassan, Sultan Rahi, Ajmal, Adeeb",Shafiq Ahmad,Shafuq Ahmad,?,Wazir Afzal,?,Mehdi Hassan,?,
Jashan, 1978-09-29, Family drama,"Asiya, Najma, Yousuf Khan, Nayyar Sultana, Seema",Imtiaz Qureshi,Parvez Sabir,?,Wazir Afzal,?,Masood Rana,?,
Sharif Shehri, 1978-09-29, Action film,"Neelo, Iqbal Hassan, Asad Bukhari, Najma, Aslam Parvez",Akram Khan,Taj Chodhary,?,Nazir Ali,?,Masood Rana,?,
Tax, 1978-09-29, Action film,"Najma, Sultan Rahi, Neelo, Iqbal Hassan, Mustafa Qureshi, Sabiha Khanum, Nazli, Ladla, Mustafa Tind, Zahir Shah, Khawar Abbas, Allauddin",Javed Khan,A.R. Butt,Nasir Adeeb,Wazir Afzal,"Hazin Qadri, Akhtar Kashmiri, Allauddin","Noorjahan, Naheed Akhtar, Afshan",Irshad Ahmad,
Zindagi, 1978-09-29, Family drama,"Babra Sharif, Nadeem, Nanha, Sabiha Khanum, Mustafa Qureshi, Talish, Tariq Aziz, Kamal Iranee, Saqi",Nazrul Islam,"Nooruddin Kisat, A.R. Shamsi",Basheer Niaz,M. Ashraf,Kaleem Usmani,"Mehnaz, Mehdi Hassan, A. Nayyar",Babar Bilal,
Khan Dost, 1978-10-06, Family drama,"Najma, Asif Khan, Musarrat Shaheen, Mustafa Qureshi",Haidar Chodhary,Saima Haidar,?,Kemal Ahmad,"Khawaja Parvez, Saeed Gilani","Noorjahan, Naheed Akhtar, Mehnaz, Shamsa Kanwal, Rajab Ali, Albela & Co.",?,
Dushman ho to Aisa, 1978-10-06, Action film,"Kaveeta, Asif Khan, Ghulam Mohayuddin, Sangeeta, Tamanna",Yousuf Bhatti,Masood Khan,?,Nazir Ali,?,Ahmad Rushdi,?,
Santri Badshah, 1978-10-13, Family drama,"Najma, Mustafa Qureshi, Kaifee, Nazli, Aurangzeb, Afzaal Ahmad, Adeeb, Khanum, Yasmin Khan, Bahar, Asha Poslay, Seema, Changezi, Jaggi Malik, Masood Akhtar, Suhail Siddiqi, Kamal Iranee, Ladla, Taya Barkat, Chhotay Saleh Mohammad Qawwal",Aslam Irani,Chodhary Mohammad Sarwar,Mohammad Kemal Pasha,Wajahat Attray,Hazin Qadri,"Noorjahan, Chhotay Saleh Mohammad Qawwal",Sajjad Rizvi,
Anmol Mohabbat, 1978-10-13, Romantic & musical film,"Shabnam, Nadeem, Nanha, Tamanna, Ibrahim Nafees, Aslam Parvez, Shahnawaz, Seema, Rehan, Chakram, Akhtar Shad, Masood Akhtar, Fozia Durrani",Shabab Keranvi,Shabab Keranvi,Shabab Keranvi,Robin Gosh,Riazur Rehman Saghar,"Mehnaz, Mehdi Hassan, Akhlaq Ahmad, Mohammad Ali Shehki",Sadiq Moti,
Khuda aur Mohabbat, 1978-10-20, Romantic film,"Mohammad Ali, Babra Sharif, Waheed Murad, Ruhi Bano, Ghulam Mohayuddin, Ghazal, Lehri, Tamanna, Najma Mehboob, Atia Sharf",Iqbal Yousuf,Shaukat Malik,?,Tafoo,?,"Naheed Akhtar, A. Nayyar",?,
Goga, 1978-10-27, Family drama,"Asiya, Yousuf Khan, Habib, Nanah, Ilyas Kashmiri",Aslam Dar,Aslam Daar,?,M. Ashraf,?,?,?,
Puttar Phannay Khan da, 1978-10-27, Social film,"Asiya, Mustafa Qureshi, Afzaal Ahmad, Musarrat Shaeen, Sawan, Allauddin, Ajmal, Khalid Saleem Mota, Irfan Khoost, Romana, Iqbal Durrani, Altaf Khan",Arif Chodhary,"Chodhary Abdul Qayyum, Mohammad Shafi",Hazin Qadri,Wajahat Attray,Hazin Qadri,"Naheed Akhtar, Shoukat Ali",?,
Awaz, 1978-10-27, Family & musical film,"Mohammad Ali, Shabnam, Waheed Murad, Ghulam Mohayuddin, Naghma, Nanha, Tamanna, Bindia, Masood Akhtar, Fozia Durrani, Ibrahim Nafees, Afshan, Najma Mehboob, Saqi",Zafar Shabab,Zafar Shabab,"Shabab Keranvi, (dialogues: Riazur Rehman Saghar)",A. Hameed,"Shabab Keranvi, Qateel Shafai, Saeed Gilani","Naheed Akhtar, Mehdi Hassan, A. Nayyar, Ghulam Abbas, Asad Amanat Ali Khan",Imtiaz Qureshi,
Hera Pheri, 1978-10-27, Action film,"Najma, Sultan Rahi, Kemal, Asif Khan, Musarrat Shaheen, Chakori, Humayun Qureshi",Shaukat Yousuf,Saqib Butt,Khursheed Ullah,Kemal Ahmad,?,Mehnaz,Rashid Lodhi,
Bobby and Julie, 1978-11-04, Romantic film,"Bobby, Julie, Salman, Shehla Gil, Shazia Gil, Tanvir, Honny, Rakhi, Nadia, Sharda, Yasin, Nadim Tahir, Riaz, Munna, Professor Arif, Ilyas Khan",Arshad Salman,A. Hameed,Imdad Ali,Karim Shahabuddin,?,?,Kousar Ali,
Tarbur, 1978-11-12, Family drama,"Yasmin Khan, Badar Munir, Liaqat Major",Sher Afgan,?,?,Murad Shinvari,?,?,?,
Curfew Order, 1978-11-12, Action film,"Najma, Sultan Rahi, Mustafa Qureshi, Nazli, Afzaal Ahmad, Jaggi Malik, Ilyas Kashmiri, Seema, Bahar, Asha Poslay, Munir Zarif, Irfan Khoost, ChunChun,",Zahoor Hussain Gilani,Syed Manzoor Hussain,Hazin Qadri,"Chandarra Mohan, Beli Ram","Hazin Qadri, Khawaja Parvez","Noorjahan, Naheed Akhtar, Mehnaz",Amjad Munir,
Ranga Daku, 1978-11-12, Action film,"Asiya, Sultan Rahi, Afzaal Ahmad, Saiqa, Ilyas Kashmiri, Adeeb, Changezi, Seema, Meena Daud, Munir Zarif, Ladla (Guests: Afzal Khan, Nasrullah Butt, Sawan)",Arshad Mirza,"Ashiq Hussain, Aamir Malik",Saeed Sahili,Wajahat Attray,Hazin Qadri,"Noorjahan, Naheed Akhtar",Iqbal Nimmi,
Achhay Mian, 1978-11-12, Family drama,"Shabnam, Mohammad Ali, Jamshed Ansari, Masood Akhtar, Nirala, Munawar Saeed",Iqbal Akhtar,Ishaq Mirza,?,M. Ashraf,?,Ahmad Rushdi,?,
Boycott, 1978-11-12, Action film,"Asiya, Sultan Rahi, Najma, Mustafa Qureshi, Rangeela, Adeeb, Alam Lohar, Zubair, Saba, Changezi, Sheikh Iqbal, Kemal Irani, Munir Zarif, Chakram, Ladla (guest: Sabiha Khanum)",M. Akram,M. Akram,Mohammad Kemal Pasha,Nazir Ali,Khawaja Parvez,"Noorjahan, Naheed Akhtar, Alam Lohar",Ibrahim Bajwa,
Dushman ki Talash, 1978-11-12, Action film,"Sudhir, Babra Sharif, Zaman Khan, Najma, Ruhi Bano, Mustafa Qureshi, Sabiha Khanum, Talish, Ilyas Kashmiri, Adeeb, Jaggi Malik, Iqbal Durrani, Shah Nawaz, (Guests: Mumtaz, Najma Mehboob, Aslam Parvez, Saqi, Nanha)",Diljeet Mirza,Sudhir,"Sudhir (dialogues: Anwar Kamal Pasha, Ruby)",Tafoo,"Khawaja Parvez, Ruby","Noorjahan, Naheed Akhtar, A. Nayyar","Munawar Ayub, Irshad, Saleem Butt",
Shola, 1978-11-12, Action drama,"Mustafa Qureshi, Najma, Asif Khan, Bindia, Usman Pirzada, Adeeb, Badar Munri, Tariq Azia, Nanha, Shahnawaz, Jalil Afghani, Seema, Kemal Irani, Ilyas Kashmiri, Sabiha Khanum",Rehmat Ali,K. Hussain,Jalil Afghani (screenplay & dialogues: Basheer Niaz),Kemal Ahmad (ass. Chandar Mohan Beli Ram),"Hazin Qadri, Saeed Gilani","Naheed Akhtar, Mehnaz, Ghulam Abbas, Rajab Ali",Tehsin Khan,
Mousam Hay Aashqana, 1978-11-24, Family drama,"Babra Sharif, Shahid, Lehri, Saiqa, Nayyar Sultana",Jan Mohammad,Jan Mohammad,?,M. Ashraf,?,Ahmad Rushdi,?,
Sarah Jora, 1978-12-15, Family drama,"Yasmin Khan, Badar Munir, Bedar Bakht, Surayya Khan, Nemat Sarhadi, Umar Daraz, Jameel Babar,",Sanober Khan,Sanobar Khan,"Sanober Khan, (dialogues: Aurangzeb Khalil)",S. Sunny,"Hoz Khan, Ameer Ghulam Sadiq","Gulnar Begum, Naseem Begum, Khayal Mohammad",Qazi Mehmood,
Khoon tay Qanoon, 1978-12-15, Action film,"Neelo, Yousuf Khan, Habib, Nazli, Aslam Parvez, Sabiha Khaum, Ilyas Kashmiri, Changezi, Tanzeem Hassan, Khalid Saleem Mota, Allauddin",Iftikhar Khan,Khawaja Abdul Hafeez,Younis Rahi,Nazir Ali,"Hazin Qadri, Khawaja Parvez","Noorjahan, Mala, Naheed Akhtar, Mehnaz, Ghulam Abbas",?,
Sharif Ziddi, 1978-12-15, Action film,"Najma, Sultan Rahi, Mustafa Qureshi, Nimmi, Adeeb",Iqbal Kashmiri,Shehnaz Begum,?,Kemal Ahmad,?,?,?,
Lalkara, 1978-12-15, Action film,"Asiya, Sultan Rahi, Iqbal Hassan, Nazli, Mustafa Qureshi, Nayyar Sultana",Javed Hassan,Nisar Ahmad Qureshi,?,Kemal Ahmad,?,?,?,
Ankhon Ankhon mein, 1978-12-15, Family drama,"Shabnam, Shahid, Nanha, Talish, Tamanna, Aslam Parvez",Jan Mohammad,Jan Mohammad,?,M. Ashraf,?,?,?,
Haidar Daler, 1978-12-22, Family drama,"Inayat Hussain Bhatti, Masarrat Shaheen, Saiqa, Mehboob Alam, Nanha, Jaggi Malik",Inayat Hussain Bhatti,Waseem Abbas,Qaisar Malik,Wajahat Attray,"Khawaja Ghulam Farid, Hazin Qadri, Inayat Hussain Bhatti, Qaisar Malik","Naheed Akhtar, Mehnaz, Shamsa Kanwal, Inayat Hussain Bhatti",?,
Qayamat, 1978-12-22, Family drama,"Najma, Ghulam Mohayuddin, Asif Khan, Nanah, Feroz",Naeem Yousuf,S.M. Ilahie,?,Khalil Ahmad,?,Mehdi Hassan,?,
Zama Ghairat, 1978-12-22, Family drama,"Surayya, Amman, Jameel Babar, Humayun Qureshi",Alnasakh Saeed,?,?,Khayal Mohammad,?,?,?,
Mohammad Bin Qasim, 1979-01-05, Biographical film,"Nisho, Nazim, Talish, Sangeeta, Adeeb",Akbar Banglori,Abdul Ghafoor,?,Tasadduq Hussain,?,Mehdi Hassan,?,
Parwarish, 1979-01-05, Action film,"Sweety, Yousuf Khan, Ghulam Mohayuddin, Musarrat Shaheen, Sabiha Khanum, Mustafa Qureshi, Saiqa, Humayun Qureshi, Khursheed Ullah, Kemal Irani, Razia, Khalid Saleem Mota, Albela, Saqi (Guest: Sultan Rahi)",S.A. Hafiz,Laila Begum,Khursheed Ullah,Amjad Bobby,Masroor Anwar,"Naheed Akhtar, Mehnaz",Ameer Ullah Khan,
Qasam Khoon Di, 1979-01-19, Family drama,"Mumtaz, H. Qureshi, Ishrat Chodhary, Zahir Shah Shah",Altaf Hussain,Humayoon,?,Qadar Ali,?,?,?,
Behan Bhai, 1979-01-19, Social film,"Mohammad Ali, Rani, Waheed Murad, Bindia, Shahnawaz, Sabiha Khanum, (Guests: Ali Ejaz, Nanha, Rangeela, Ibrahim Nafees, Saqi)",Nazar Shabab,A. Hameed,"Shabab Keranvi, (dialogues: Basheer Niaz)",Kemal Ahmad,"Qateel Shafai, Saeed Gilani","Naheed Akhtar, Mehnaz, Mehdi Hassan, Ghulam Abbas",Azhar Zaidi,"Ass. Music: Chandra Mohan, Beli Ram"
Paisa Bolta Hay, 1979-01-26, Family drama,"Ishrat, Waseem, Seemi, Shabbir Ansari",A.H. Siddiqi,Ghulam Mustafa,?,Nazar Sabir,?,?,?,
Notan Nu Salam, 1979-02-04, Family drama,"Asiya, Kemal, Iqbal Hassan, Shabbo, Sheikh Iqbal",Sheikh Iqbal,Ashfaq Naseer,?,Master Abdullah,?,?,?,
Waaday ki Zanjeer, 1979-02-04, Social film,"Mohammad Ali, Anjuman, Waheed Murad, Sabiha Khanum, Nanha, Tamanna, Bindia, Masood Akhtar, Shehla Gil, Ali Ejaz, Ibrahim Nafees, Zille Subhan, Chakram, Ghayyur Akhtar",Shabab Keranvi (also screenplay),Shabab Keranvi,"Sattar Tahir, (dialogues: Riazur Rehman Saghar)",M. Ashraf,"Qateel Shafai, Masroor Anwar","Mehnaz, Mehdi Hassan, A. Nayyar",Sadiq Moti,Ass. Music: M. Arshad
Moula Jatt, 1979-02-11, Action & musical film,"Asiya, Sultan Rahi, Mustafa Qureshi, Chakori, Kaifee, Adeeb, Aliya, Asad Bukhari, Seema, Imrozia, Aneeta, Ladla, Rangeela, Khalid Saleem Mota, Ilyas Kashmiri, Shakeel",Younis Malik,Mohammad Sarwar Bhatti,Nasir Adeeb,Master Inayat Hussain,Naseem Fazal,"Noorjahan, Naheed Akhtar, Mehanz, Laila Naz, Inayat Hussain Bhatti, Alam Lohar, Shoukat Ali, Ghulam Ali",Masood Butt,
Adawat, 1979-02-18, Action film,"Najma, Sudhir, Mustafa Qureshi, Yasmin Khan, Shahnawaz",Masood Butt,Anis Malik,?,Tafoo,?,?,?,
Griftar, 1979-02-25, Family drama,"Najma, Mustafa Qureshi, Afzaal Ahmad, Ishrat Chodhary, Adeeb, Saba, Zahir Shah, Khayyam, Khalid Saleem Mota,",Haidar Chodhary,"Chodhary Mohammad Akram, Chodhary Jalaluddin",Nasir Adeeb,Wajahat Attray,Khawaja Parvez,"Naheed Akhtar, Masood Rana, Rajab Ali",Ameerullah Khan,
Yahan say Wahan tak, 1979-02-25, Overseas made romantic film,"Mumtaz, Waheed Murad, Asif Khan, Kemal, Ali Ejaz",Syed Kemal,Syed Iqbal,?,Wajahat Attray,Hasina Moen,"Mehnaz, Mehdi Hassan, Mehboob",?,
Nadan, 1979-03-02, Family drama,"Yasmin Khan, Badar Munir, Waheeda Khan, Bedar Bakht",Waheeda Khan,Syed Ali Rizvi,?,S. Sunny,?,?,?,
Chalaan, 1979-03-02, Family drama,"Asiya, Yousuf Khan, Asif Khan, Kaifee, Mustafa Qureshi, Aliya, Chakori",Masood Butt,Mehmood Butt,?,Tafoo,?,?,?,
Main Nalaiq Aan, 1979-03-09, Action film,"Nazli, Sultan Rahi, Ishrat Chodhary, Asif Khan",Zahoor Hussain Geelani,Manzoor Hussain,?,Siddique Akhtar,?,?,?,
Tarana, 1979-03-09, Family drama,"Rani, Waheed Murad, Ghulam Mohayuddin, Bindia, Nanha, Tamanna, Bahar, Shahnawaz, Seema, Ibrahim Nafees, Meena Shori, Tani, Zille Subhan",Zafar Shabab,Zafar Shabab,"Shabab Keranvi, (dialogues: Riazur Rehman Saghar)",M. Ashraf,"Saeed Gilani, Riazur Rehman Saghar, Masroor Anwar","Naheed Akhtar, Mehnaz, Mehdi Hassan, Asad Amanat Ali Khan",Imtiaz Qureshi,
Nei Tehzeeb, 1979-03-16, Family drama,"Rani, Shahid, Babra Sharif, Usman Pirzada, Nanha, Bahar, Afzaal Ahmad, Nayyar Sultana, Asifa, Seema, Changezi, Imdad Hussain, Saqi, Albela, Meena Shori, Sheikh Iqbal, Saba, Roshan, Fozia Durrani, Ibrahim Nafees",Agha Hassan Imtesal,"Agha Hassan Imtesal, Chodhary Mohammad Ashraf","Agha Hassan Imtesal, (screenplay: Sangi Malik)",M. Ashraf,Taslim Fazli,"Naheed Akhtar, Mehnaz, Mehdi Hassan, A. Nayyar",Nabi Ahmad,Islamic suggestions by: Idrees Malik
Muqabla, 1979-03-23, Family drama,"Asiya, Iqbal Hassan, Nimmi, Ali Ejaz, Aslam Parvez, Adeeb",S. Jamsheri,Ajmal Malik,?,Wajahat Attray,?,?,?,
Khak-o-Khoon, 1979-03-23, Patriotic film,"Naveen Tajak, Shujaat Hashmi, Mehboob Alam, Agha Faraz",Masood Parvez,NEFDEC,Naseem Hijazi,Nisar Bazmi,Ahmad Rahi,Mehdi Hassan,?,
Shaheed, 1979-03-30, Family drama,"Babra Sharif, Shahid, Nimmi, Badar Munir, Jameel babr, Afzal Ahmad",S.A. Hafiz,Chodhary Aslam,?,M. Ashraf,?,?,?,
Chori Chori, 1979-03-30, Action film,"Zeba, Mohammad Ali, Qavi, Athar Shah Khan (Jaidi), Talish, Nirala, Ibrahim Nafees, Saqi, Meena Daud, Nasira, Khalid Saleem Mota, Khalid Butt",Syed Tayyab Zaidi,Mohammad Qavi Khan,Haroon Pasha,Nashad (ass. Wajid Ali Nashad),Taslim Fazli,"Naheed Akhtar, Mehnaz, Ahmad Rushdi, Ghulam Abbas, Imran Ali Nashad",Waqar Bukhari,
Naqsh-e-Qadam, 1979-03-30, Family drama,"Rani, Mohammad Ali, Ghulam Muhayuddin, Asif Khan, Nazli",Iqbal Akhtar,Razzaq Naseer,?,Amjad Bobby,?,?,?,
Nishani, 1979-04-06, Family drama,"Shabnam, Waheed Murad, Qavi, Tariq Aziz, Naini, Saiqa, Nayyar Sultana, Aslam Parvez, Amman, Romana, Albela, Khalid Saleem Mota, Ladla, Irfan Khoost, Anwar Ali, Meena Shori, Chakram, Naina",Jamshed Naqvi,Mohammad Jameel,"Zafar Nadeem, (dialogues: Rasheed Sajid)",Jozi Anjum,Taslim Fazli,"Naheed Akhtar, Mehdi Hassan, Ghulam Abbas, Farida Khanum",Waqar Bukhari,
Tehka Pehlwan, 1979-04-13, Family drama,"Musarrat Shaheen, Nanha, Afzal Ahmad, Nazli, Aslam",Aslam Irani,Javed Qamar,?,Nazir Ali,?,"Noorjahan, Masood Rana",?,
Takht ya Takhta, 1979-04-20, Action film,"Chakori, Kaifee, Inayat Hussain Bhatti, Nanha, Bahar, Kamal Iranee, Najma Mehboob, Saba, Altaf Khan, Nazli, Sawan, Changezi, Jaggi Malik, Khayyam, Shakeel, Nasrullah Butt, Khawar Abbas, Haidar Abbas",Mulazim Hussain Bhatti,Arshad Ali Waraich,Nasir Adeeb,Wajahat Attray,Khawaja Parvez,"Noorjahan, Naheed Akhtar, Inayat Hussain Bhatti",M. Latif,
Pakeeza, 1979-04-20, Family drama,"Shabnam, Nadeem, Bindia, Rahat Kazmi, Naveen Tajak, Qavi, Jameel Fakhri, Jamshed Ansari, Nasira, Imrozia, Ishrat Chodhary, Saqi, Hanif, Shahnawz, Kamal Iranee, Albela, Badiuz Zaman, Allauddin",Parvez Malik,Masroor Anwar,Masroor Anwar,M. Ashraf,Masroor Anwar,"Naheed Akhtar, Mehnaz, Ghulam Abbas",Sarwar Gul,
Remand, 1979-04-27, Action film,"Mumtaz, Mustafa Qureshi, Humayun Qureshi, Nanha, Sabiha Khanum, Zahir Shah, Imdad Hussain, Ishrat Chodhary, Mazhar Shah",Altaf Hussain,Sheikh Allauddin,?,Qadar Ali,?,"Noorjahan, Naheed Akhtar, Mehdi Hassan",?,
Mr. Ranjha, 1979-04-27, Comedy film,"Rani, Shahid, Bindia, Aslam Parvez, Meena Daud",Jan Mohammad,Jan Mohammad Jumman,?,Rajab Ali,?,"Naheed Akhtar, Mehdi Hassan, Masood Rana, Ghulam Abbas",?,
Raja ki Aye gi Baraat, 1979-04-27, Romantic film,"Mohammad Ali, Mumtaz, Waheed Murad, Sabiha Khanum, Adeeb, Hanif, Qavi, Chakram, Khalid Saleem Mota, Abbu Shah,",Iftikhar Khan,S.A. Ashfaq,Syed Noor,M. Ashraf,Taslim Fazli,"Naheed Akhtar, Mehdi Hassan",Riaz Bukhari,
Nazr-e-Karm, 1979-05-04, Family drama,"Shabnam, Shahid, Usman Pirzada, Naveen Tajik",S. Suleman,Shabnam Nooruddin,?,Kemal Ahmad,?,Mehdi Hassan,?,
Jan Kay Dushman, 1979-05-11, Action film,"Musarrat Shaheen, Badar Munir, Humayun Qureshi, Ali Ejaz",Maqsood Khan,Asghar Ali,?,Kemal Ahmad,?,Ahmad Rushdi,?,
